maxtempF,mintempF,avgtempF,totalSnow_cm,humid,wind,precip,sunHour,lat,long,had_wildfire
66.93333333,46.03333333,57.66666667,0,64.46666667,4.933333333,0.1,8.513333333,38.51,-122.33,0
61.56666667,37.93333333,50.53333333,0,66.96666667,6.133333333,0.156666667,8.38,40.76,-122.04,0
70.33333333,44.13333333,58.73333333,0,63.6,4.433333333,0.073333333,8.923333333,36.24,-121.32,0
56.43333333,39.1,49.06666667,0,74.3,5.666666667,0.233333333,7.72,40.65,-123.11,0
62.36666667,44.53333333,54.6,0,69.3,5.666666667,0.18,8.626666667,39.43,-123.44,0
68.53333333,49.9,60.46666667,0,36.73333333,6.6,0.02,8.643333333,36.56,-117.4,0
49.13333333,25.9,38.56666667,1.406666667,61.96666667,5.5,0.08,8.316666667,37.92,-118.88,0
54.83333333,37.46666667,46.7,1.386666667,58.5,7.4,0.263333333,7.883333333,38.02,-119.96,0
67.06666667,47.13333333,58.6,0,66.46666667,4.166666667,0.036666667,8.453333333,38.27,-121.94,0
70.6,45,59.6,0,41.5,6.633333333,0.046666667,8.373333333,34.86,-116.18,0
66.76666667,47.76666667,59.03333333,0,68.76666667,3.866666667,0.023333333,8.746666667,37.92,-121.95,0
49.63333333,31.4,41.7,1.53,65.36666667,6.333333333,0.213333333,8.003333333,38.62,-119.8,0
58.5,42.06666667,50.73333333,0.026666667,60.86666667,6.8,0.283333333,8.096666667,38.79,-120.53,1
66.33333333,48.06666667,58.2,0,63.1,4.733333333,0.096666667,8.486666667,38.68,-121.9,0
66.93333333,47.26666667,57.63333333,0,57.93333333,5.9,0.083333333,8.606666667,39.27,-121.34,0
70.36666667,44.3,58.86666667,0,65.2,4.3,0.043333333,8.746666667,36.61,-121.09,0
59.7,49.23333333,55.66666667,0,75.36666667,7.366666667,0.213333333,8.21,40.71,-123.93,0
79.06666667,41.46666667,61.46666667,0,36.76666667,7.2,0.046666667,8.646666667,33.73,-116,1
72.16666667,37.2,57.86666667,0,51.16666667,4.233333333,0.053333333,8.5,35.35,-118.73,0
66.1,48.43333333,58.4,0,59.86666667,4.933333333,0.103333333,8.813333333,39.18,-122.24,0
57.33333333,49.36666667,53.73333333,0,78.53333333,8.166666667,0.376666667,7.693333333,41.75,-123.98,0
48.3,33.43333333,41,0.553333333,71.26666667,6.9,0.11,7.936666667,41.59,-120.72,0
70.4,49.6,61.3,0,53.36666667,4.3,0.07,8.653333333,36.76,-119.66,0
64.3,40.83333333,53.23333333,0,54.83333333,6,0.146666667,8.656666667,37.21,-119.75,0
66.76666667,45.63333333,57.53333333,0,70.46666667,3.8,0.083333333,8.806666667,37.22,-121.69,0
